Onset,Duration,Annotation
+0.8326,,Marker: Markon: w
+30.6565861,,Marker: Markoff: w
+31.0189675,,Marker: Markon: w
+60.6048884,,Marker: Markoff: w
+61.0186,,Marker: Markon: w
+90.6556,,Marker: Markoff: w
+91.0186,,Marker: Markon: w
+120.6046,,Marker: Markoff: w
+121.0186,,Marker: Markon: w
+150.6556,,Marker: Markoff: w
+151.0186,,Marker: Markon: w
+180.5536401,,Marker: Markoff: w
+181.0186,,Marker: Markon: 1
+210.5536,,Marker: Markoff: 1
+211.0186,,Marker: Markon: 1
+240.5536,,Marker: Markoff: 1
+241.0186,,Marker: Markon: 1
+270.5536,,Marker: Markoff: 1
+271.0186,,Marker: Markon: 1
+287.0384446,,spindle
+300.5536,,Marker: Markoff: 1
+301.0186,,Marker: Markon: 1
+322.7304205,,spindle
+330.5536,,Marker: Markoff: 1
+331.0186,,Marker: Markon: 1
+360.5536,,Marker: Markoff: 1
+361.0186,,Marker: Markon: 1
+390.5536,,Marker: Markoff: 1
+391.0186,,Marker: Markon: 1
+418.6838286,,k-complex
+420.1022928,,spindle
+420.5536,,Marker: Markoff: 1
+421.0186,,Marker: Markon: 1
+450.5536,,Marker: Markoff: 1
+451.0186,,Marker: Markon: 1
+470.9728709,,spindle
+480.5536,,Marker: Markoff: 1
+481.0186,,Marker: Markon: 1
+504.3999632,,spindle
+510.5536,,Marker: Markoff: 1
+511.0186,,Marker: Markon: 1
+518.2092815,,spindle
+540.5536,,Marker: Markoff: 1
+541.0186,,Marker: Markon: 1
+570.5536,,Marker: Markoff: 1
+571.0366,,Marker:Markon:1
+577.4301616,,spindle
+581.7528536,,spindle
+585.8348208,,spindle
+600.6096,,Marker:Markoff:1
+601.0366,,Marker:Markon:1
+620.9081599,,spindle
+630.5536,,Marker: Markoff: 1
+631.0366,,Marker:Markon:1
+660.5536,,Marker: Markoff: 1
+661.0366,,Marker:Markon:1
+679.7537164,,spindle
+686.188574,,k-complex
+690.5536,,Marker: Markoff: 2
+691.0706,,Marker:Markon:2
+707.3128191,,spindle
+720.5536,,Marker: Markoff: 2
+721.0366,,Marker:Markon:2
+724.7977199,,spindle
+729.6122151,,spindle
+732.0712315,,k-complex
+739.2748553,,spindle
+740.9055715,,spindle
+750.5536,,Marker: Markoff: 2
+751.0366,,Marker:Markon:2
+753.6872798,,spindle
+780.5536,,Marker: Markoff: 2
+781.0366,,Marker:Markon:2
+781.8287811,,spindle
+800.7606189,,spindle
+805.898669,,spindle
+808.9012574,,spindle
+810.5536,,Marker: Markoff: 2
+811.0366,,Marker:Markon:2
+813.0427587,,spindle
+820.4016888,,spindle
+825.5009123,,spindle
+831.9642427,,spindle
+839.9636,,spindle
+840.5536,,Marker: Markoff: 2
+841.0366,,Marker:Markon:2
+853.7433627,,spindle
+861.009109,,spindle
+869.5716629,,spindle
+870.5536,,Marker: Markoff: 2
+871.0366,,Marker:Markon:2
+884.7528536,,spindle
